ID  lat_MERIT lon_MERIT area_MERIT
1643550 -1.692  13.658  1387.0
1644100 -2.792  10.708  22574.0
1644200 -2.942  10.992  14145.6
1653100 -3.342  29.275  13094.2
1655100 -17.342 13.875  90638.3
1655101 -17.275 14.525  87837.2
1655102 -16.725 14.975  53481.2
1655103 -15.375 15.275  41022.1
1655104 -14.892 15.092  35476.9
1655105 -14.625 15.092  18893.8
1655106 -14.225 15.392  13909.1
1655107 -13.775 15.508  8699.6
1655108 -13.442 15.875  4722.0
1655110 -13.775 15.408  1407.2
1655120 -15.375 15.842  4781.5
1657100 -17.475 18.475  70614.0
1657101 -15.692 17.458  38581.7
1657102 -13.042 16.375  1492.6
1657110 -14.375 16.492  3715.9
1657120 -14.675 16.908  9264.0
1657130 -13.742 16.892  2053.7
1657200 -14.642 18.658  1755.1
1662100 19.175  30.492  2725932.5
1662500 15.958  32.558  2009153.5
1663100 15.608  32.542  307757.9
1663500 13.575  33.575  201808.1
1663800 11.858  34.375  188528.4
1664100 17.675  33.992  231550.3
1664600 14.975  35.925  100067.1
1666100 9.308 31.625  213603.9
1670100 -2.858  30.408  9977.5
1670101 -3.358  29.992  6291.3
1670102 -3.175  29.908  2233.8
1670103 -3.075  29.908  1103.2
1670140 -3.342  29.858  1820.9
1670141 -3.408  29.858  1554.0
1670200 -2.808  29.725  1478.5
1673100 15.608  32.492  1699323.3
1673150 15.242  32.492  1695762.0
1673500 10.442  32.208  1510798.4
1673600 9.575 31.642  1440552.0
1673650 9.442 31.108  1196981.5
1673660 9.442 31.075  40235.9
1673800 6.075 31.592  482774.2
1673900 5.208 31.775  479744.9
1726100 7.092 1.875 1767.5
1731400 10.925  0.875 23600.0
1732100 6.908 1.608 21057.6
1733100 9.192 2.275 10088.1
1733200 7.575 2.042 3800.2
1733300 8.008 2.375 23506.2
1733320 8.258 2.725 9470.8
1733400 7.125 2.325 8249.7
1733500 7.175 2.425 38198.8
1733600 6.875 2.442 48075.2
1733700 6.508 2.408 2114.9
1734300 11.392  2.175 5665.4
1734400 11.225  2.658 8166.2
1734410 11.225  2.658 8166.2
1734450 12.358  2.725 10421.5
1734480 11.058  3.058 1249.1
1734500 11.875  3.408 1205189.8
1734550 10.975  3.242 8223.1
1734560 10.975  3.242 8223.1
1734600 11.742  3.325 13240.5
1737080 6.325 16.342  8054.7
1737100 6.475 17.075  13448.1
1737150 6.475 17.442  22730.3
1737200 6.508 18.258  6858.0
1737210 7.308 18.275  44433.2
1737250 7.008 19.192  5545.3
1737280 7.192 20.008  5824.5
1737300 7.575 20.175  4470.0
1737700 9.008 19.142  133393.0
1748500 3.192 16.108  71489.7
1749030 4.875 18.042  4592.4
1749050 3.675 18.308  30926.1
1749080 4.525 18.475  10674.2
1749100 4.358 18.592  490406.6
1749150 5.158 18.858  3443.2
1749200 5.742 19.075  2540.1
1749400 5.058 21.208  4626.2
1749480 4.592 21.925  77986.7
1749500 4.725 22.825  120371.4
1749510 4.742 22.675  21546.0
1749550 4.975 23.925  52536.6
1749600 5.025 25.142  27922.5
1749700 5.342 25.725  3856.1
1749800 5.408 26.492  6028.0
1769100 -0.175  34.925  2736.0
1769200 -0.158  35.158  1470.3
1789300 -0.475  39.642  32663.2
1812100 16.525  -15.508 385737.2
1812300 15.675  -13.242 336243.2
1812500 14.908  -12.458 322275.1
1812600 14.458  -12.208 28745.3
1813200 13.475  -13.725 41786.4
1813250 13.458  -13.675 1304.1
1813300 12.792  -13.458 4988.7
1813320 13.192  -13.608 6346.7
1813350 13.808  -13.908 6963.3
1813400 13.692  -13.175 6801.3
1813450 13.342  -13.375 32842.1
1813460 13.342  -13.358 21192.8
1813500 13.025  -13.308 20414.1
1813600 13.075  -12.742 3048.8
1813700 12.842  -12.358 10543.1
1813780 12.542  -12.192 7588.2
1813800 12.625  -12.092 1085.0
1814070 12.425  -14.508 7230.4
1814400 12.825  -14.125 3113.4
1815020 11.592  -14.708 22461.0
1815070 11.925  -14.208 20872.3
1816400 12.875  -14.942 3684.9
1834101 7.742 6.758 1990370.1
1834110 11.375  4.125 1465622.3
1835300 7.708 10.025  12556.8
1835800 9.258 12.492  104605.7
1835900 8.192 9.742 254162.8
1837101 13.558  13.225  150195.4
1837103 13.375  12.792  149742.1
