  ID  lat_ori  lon_ori  lat_MERIT  lon_MERIT  area_MERIT  width_MERIT  elv_MERIT
            1158       -15.5820       -67.2840       -15.5750       -67.2917     29444.9238        80.4231       399.5000
            1159         8.0020         7.7490         8.0083         7.7417    321272.9688       501.9399        48.9000
            1160         7.9460         7.0860         7.9417         7.0917    334896.5312       577.3175        39.0000
            1161         8.0200         7.2570         8.0083         7.2417    334212.5625       304.7401        41.1000
            1162         9.4350        11.6140         9.4417        11.6083    170867.5781       185.9161       128.6000
            1163         8.6860        10.3400         8.6917        10.3417    203601.4531        53.6560        98.9000
            1164         9.3070        13.0030         9.3083        13.0083     65372.1328        37.8794       168.9000
            1165         9.2330        12.5450         9.2250        12.5250    104581.0859        31.5000       153.0000
            1166         9.2460        12.5910         9.2417        12.5917    103007.3438       193.5438       155.0000
            1167         9.3300        12.9370         9.3250        12.9417     69071.2812        73.6934       165.0000
            1168         9.3430        13.5050         9.3417        13.5083     61453.1172        23.4000       178.7000
            1169         7.9440         8.0210         7.9417         8.0250    310674.9375       424.4949        51.6000
            1170         7.8600         8.2280         7.8750         8.2083    307658.6250       618.8831        54.8000
            1171         7.8300         8.9300         7.8250         8.9250    276467.4375       571.2957        65.5000
            1172         7.9050         9.1530         7.9083         9.1583    274169.9062       359.8210        70.3000
            1173         8.3280         9.9770         8.3250         9.9750    232380.3750       270.3600        88.4000
            1174         8.3400         9.9900         8.3417         9.9917    232377.3906       608.5951        88.4000
            1175         9.1520        11.0970         9.1417        11.0917    177244.5000       335.6993       115.5000
            1176         8.7590        10.8310         8.7583        10.8250    198070.0469       210.7923       105.5000
            1177         9.4850        12.1080         9.4917        12.1083    112518.5234       222.5563       138.9000
            1178        -3.8960       -67.5520        -3.8917       -67.5583     12780.2725       214.7066        49.4000
            1179         4.2340        23.0890         4.2417        23.0917     18864.0977        73.0118       465.5000
            1180         3.3020        27.4020         3.3083        27.4083     12745.6377        16.2000       652.5000
            1181         3.4310        26.4160         3.4417        26.3917     20935.2461       148.6140       605.8000
            1182         3.0130        28.2110         2.9917        28.1750      8008.4463        35.9076       728.0000
            1183         2.8310        28.7970         2.8417        28.7583      4183.8721        11.2500       780.1000
            1184         3.2900        26.7120         3.2917        26.7083     19396.2129        60.5538       619.5000
            1185         3.2790        26.6170         3.2750        26.6250     19855.2500        17.5500       617.0000
            1186         3.3130        27.4670         3.3083        27.4583     12170.7061        28.6621       653.7000
            1187         3.3310        27.5640         3.3250        27.5583     11770.2012        57.8166       653.7000
            1188         2.7920        28.9780         2.8083        28.9417      3485.4219        11.2500       790.2000
            1189         3.3130        27.4260         3.3083        27.4250     12741.0977        38.5280       652.5000
            1190         3.0050        28.1170         3.0250        28.0917      8282.5156        47.6888       693.7000
            1191         3.2990        26.7450         3.2917        26.7250     19388.2227         5.4000       624.1000
            1192        15.2250        33.0580        15.2250        33.0583    299464.7188       260.5480       382.6000
            1193        13.2610        33.9010        13.2583        33.9083    198266.7812       329.8740       425.7000
            1194        12.4150        34.2800        12.4250        34.2750    190437.5938       293.8249       436.8000
            1195        15.5200        32.6610        15.5250        32.6583    307524.8750       172.0010       376.9000
            1196        12.3980        34.3170        12.3917        34.3250    190289.6562       237.1172       437.7000
            1197        12.2690        34.3470        12.2917        34.3583    190209.6719       285.2718       439.9000
            1198        11.4910        34.5240        11.4917        34.5250    181863.8594      1234.0729       481.6000
            1199        10.0460        35.7870        10.0417        35.7917    109456.6875        58.8782       643.2000
            1200         1.4080        21.4700         1.4417        21.4417      7225.5830        11.2500       344.8000
            1201         1.3080        21.8420         1.3250        21.8083      5755.4893        11.2500       352.9000
            1202         1.3890        21.5230         1.4083        21.4917      6938.3477        45.5716       344.8000
            1203         5.2590        25.7410         5.2583        25.7417     16192.2285        32.3352       565.8000
            1204         4.7240        22.8040         4.7250        22.8083    120365.0391       397.3678       471.6000
            1205         4.7180        23.1200         4.7250        23.1250    118482.6484       378.1719       477.6000
            1206         4.4570        22.6890         4.4583        22.6750    145289.7344       138.0394       457.2000
            1207         5.1540        26.3010         5.1750        26.2750      6143.2563        11.2500       584.5000
            1208         5.1150        26.4270         5.1417        26.3917      5016.8242        11.2500       589.4000
            1209         4.6930        23.5290         4.6917        23.5250    115977.7422       550.4942       490.7000
            1210         4.6610        23.4520         4.6417        23.4417    116603.3594       210.3266       484.9000
            1211         4.9000        24.7840         4.9083        24.7917     33201.9766        32.4448       538.9000
            1212         5.3800        25.5330         5.3583        25.5250     21202.7930        56.5610       556.3000
            1213        26.1800        90.8330        26.1917        90.8083    417354.5938       895.8698        31.0000
            1214        24.8450        89.6150        24.8417        89.6083    516181.0000      1263.1588         8.1000
            1215        25.1610        89.6950        25.1583        89.6917    512004.4375      1391.7495        13.1000
            1216        26.7750        93.4800        26.7583        93.4583    368290.4375      1977.6318        63.7000
            1217        26.7580        93.4870        26.7583        93.4917    367242.0312      1057.4598        64.8000
            1218        26.2310        91.0290        26.2250        91.0250    417129.5000       915.0117        34.0000
            1219        26.2050        91.0400        26.2250        91.0250    417129.5000       915.0117        34.0000
            1220        26.7180        93.6300        26.7250        93.6250    366754.9062       579.5067        66.9000
            1221        -0.8020       -61.8520        -0.8250       -61.8417    181215.8750       570.1519        21.3000
            1222        -0.7600       -61.8620        -0.7583       -61.8583    181020.6250       570.5074        21.6000
            1223         1.4440       -61.2630         1.4417       -61.2583    132874.8750       576.5248        41.0000
            1224         1.0910       -61.3370         1.0917       -61.3417    133151.2188      1157.1177        40.6000
            1225         1.1180       -61.3420         1.1083       -61.3250    133095.2812       631.1173        41.0000
            1226        -1.0300       -61.8710        -1.0250       -61.8750    189250.4219       819.2967        17.9000
            1227        -0.4380       -61.8050        -0.4583       -61.7917    180590.5938       549.6557        25.8000
            1228         2.6680       -60.7520         2.6583       -60.7583     97179.7812       988.0834        57.8000
            1229         2.5940       -60.7970         2.5750       -60.8083     97367.1250       909.4008        56.2000
            1230         0.3430       -61.7390         0.3417       -61.7417    175787.5469      1187.3258        31.5000
            1231       -10.4770       -61.0900       -10.4583       -61.0583      7251.7192        53.3534       118.3000
            1232       -10.6480       -61.1290       -10.6083       -61.1417      6174.3374        75.5057       129.3000
            1233       -10.7060       -61.1420       -10.6750       -61.1417      5515.6401        88.2062       129.3000
            1234       -10.7700       -61.1560       -10.7417       -61.1250      5462.9194        17.5500       138.0000
            1235       -10.9610       -61.1990       -10.9250       -61.2250      2763.5146        11.2500       151.6000
            1236       -10.0840       -60.8690       -10.0917       -60.8750     10322.7227        94.3934       106.0000
            1237       -10.1010       -60.8650       -10.1083       -60.8583     10301.5771        69.7660       106.4000
            1238       -10.1750       -60.8490       -10.1583       -60.8417     10240.7227        74.1307       107.2000
            1239         1.6340       -57.7110         1.6417       -57.7083       646.2250         0.0000       213.3000
            1240         1.6290       -57.6930         1.6250       -57.6917       721.4593         0.0000       212.2000
            1241         1.0520       -57.1020         1.0250       -57.0750     16962.5020       209.9457       189.5000
            1242       -10.4430       -59.3510       -10.4417       -59.3917      1011.5818        11.2500       229.7000
            1243         7.7720       -70.1940         7.7750       -70.1917     13814.7480        95.5594       100.9000
            1244        -1.3380       -73.4350        -1.3750       -73.4083      4888.7007        43.8869       123.6000
            1245         3.0590       -65.9290         3.1417       -65.9917     40205.6055       268.4857       111.4000
            1246         2.0060       -66.9520         2.0083       -66.9583     41826.9219       472.8169        81.4000
            1247         2.4010       -66.5030         2.3750       -66.5083      6952.0698       249.3205        89.7000
            1248         2.8100       -66.0570         2.7750       -66.0917      3307.6294       257.9202        94.1000
            1249         9.3810        18.1710         9.3750        18.1750    318723.5625       206.3549       351.9000
            1250        10.7760        15.9530        10.7750        15.9583    497903.4688       352.7023       305.9000
            1251        11.4330        15.3540        11.4250        15.3583    508832.7812       342.3831       295.2000
            1252        10.7630        16.1370        10.7583        16.1417    497313.0938       277.4633       312.2000
            1253        10.5720        17.0290        10.5750        17.0250    475003.9375       109.5031       328.6000
            1254        10.7810        15.9840        10.7750        15.9917    497769.5625       294.8474       308.9000
