ID  Lat Lon EGM96_h
1371  -9.520  13.967  16.70
1372  -3.574  -64.046 -1.55
1373  -5.965  16.150  3.10
1374  -14.551 15.138  22.61
1375  -16.984 14.751  22.69
1376  -14.557 15.119  22.65
1377  -6.308  -54.525 -19.85
1378  -7.845  -54.902 -16.89
1379  -7.882  -54.894 -16.82
1380  -6.094  -72.328 21.71
1381  -5.234  -72.008 21.53
1382  -4.578  -71.434 21.06
1383  -6.277  -72.496 21.18
1384  44.746  20.648  43.27
1385  44.793  20.630  43.26
1386  45.203  27.956  32.20
1387  44.203  22.712  40.56
1388  44.549  22.584  41.00
1389  43.777  23.803  40.12
1390  43.685  25.104  38.79
1391  43.700  24.767  39.26
1392  43.981  26.147  36.77
1393  43.691  25.705  38.16
1394  44.138  27.140  35.45
1395  46.659  18.969  44.14
1396  44.048  26.510  36.04
1397  -6.322  -70.942 23.73
1398  -11.470 -70.655 27.47
1399  -11.487 -70.613 27.51
1400  -11.950 -70.045 27.46
1401  -11.180 -71.308 26.45
1402  -12.062 -69.764 27.88
1403  -11.141 -71.409 26.33
1404  -12.185 -69.380 28.15
1405  8.264 9.354 20.84
1406  8.484 9.023 20.82
1407  1.953 15.581  -0.51
1408  2.848 14.020  5.33
1409  1.940 15.611  -0.52
1410  2.011 15.141  -0.09
1411  2.349 14.255  3.71
1412  2.009 15.114  -0.03
1413  2.005 14.963  0.42
1414  1.765 15.996  -0.94
1415  1.294 13.429  6.11
1416  0.776 12.971  6.52
1417  0.861 12.990  6.51
1418  1.063 13.550  5.54
1419  5.378 13.458  12.98
1420  5.518 13.089  13.80
1421  -4.217  15.031  0.70
1422  8.319 9.995 20.47
1423  8.179 10.026  20.29
1424  7.985 10.070  20.05
1425  7.631 10.149  19.90
1426  7.484 10.182  19.88
1427  44.830  0.144 47.34
1428  -24.036 31.554  12.08
1429  -24.082 32.477  11.07
1430  -24.054 31.433  11.79
1431  -3.476  27.577  -15.64
1432  -3.508  27.805  -15.13
1433  -2.856  26.193  -17.84
1434  -3.053  27.084  -16.28
1435  -3.042  26.546  -17.07
1436  13.296  0.820 23.85
1437  13.016  -11.401 30.92
1438  13.138  -11.500 30.81
1439  13.415  -11.734 30.49
1440  9.075 12.950  16.47
1441  -6.854  140.914 73.24
1442  -7.223  -51.448 -20.99
1443  -7.965  -51.282 -19.99
1444  -7.012  -51.693 -21.05
1445  -7.762  -51.142 -20.44
1446  -7.833  -51.158 -20.31
1447  -8.767  -51.366 -17.92
1448  10.965  7.768 22.30
1449  11.149  7.809 21.96
1450  13.557  -14.572 31.08
1451  13.354  -14.252 31.19
1452  13.492  -15.492 31.11
1453  25.579  85.488  -63.56
1454  24.382  88.385  -56.19
1455  23.935  89.257  -55.56
1456  29.541  78.054  -52.68
1457  27.206  79.766  -62.71
1458  25.621  84.041  -64.98
1459  25.288  87.177  -59.60
1460  25.163  82.720  -62.00
1461  25.516  85.798  -62.81
1462  26.012  81.066  -62.51
1463  25.740  84.417  -65.02
1464  23.823  89.524  -55.70
1465  27.732  79.184  -60.82
1466  27.770  79.174  -60.73
1467  25.115  82.821  -61.93
1468  25.269  87.723  -57.58
1469  25.299  87.716  -57.67
1470  23.425  90.302  -55.41
1471  25.617  81.512  -62.07
1472  25.336  86.269  -61.76
1473  24.076  89.027  -55.60
1474  26.549  80.313  -63.40
1475  25.545  81.641  -62.04
1476  25.592  81.629  -62.15
1477  25.705  84.738  -64.66
1478  25.063  87.838  -56.82
1479  27.731  79.183  -60.81
1480  25.479  83.359  -64.31
1481  25.408  86.488  -61.85
1482  28.972  78.074  -54.90
1483  25.327  81.960  -61.66
1484  25.666  85.116  -64.34
1485  26.709  80.169  -63.39
1486  25.615  83.666  -64.98
